acinum	Desulfacinum
microbium	Methylomicrobium
microbium	Methylotuvimicrobium
microbium	Myxomicrobium
microbium	Nucisporomicrobium
microbium	Oceanomicrobium
microbium	Ornithinimicrobium
microbium	Oryzomicrobium
microbium	Pedomicrobium
microbium	Pelomicrobium
microbium	Planctomicrobium
microbium	Planomicrobium
microbium	Pontimicrobium
microbium	Propionimicrobium
microbium	Prosthecomicrobium
microbium	Psychromicrobium
microbium	Rarimicrobium
microbium	Rhizomicrobium
microbium	Rhodomicrobium
microbium	Roseimicrobium
microbium	Rubellimicrobium
microbium	Rurimicrobium
microbium	Salimicrobium
microbium	Salinimicrobium
microbium	Scrofimicrobium
microbium	Sinomicrobium
microbium	Solimicrobium
microbium	Sphingomicrobium
microbium	Spongiimicrobium
microbium	Subsaximicrobium
microbium	Sulfurimicrobium
microbium	Tellurimicrobium
microbium	Tepidimicrobium
microbium	Terrimicrobium
microbium	Thalassorhabdomicrobium
microbium	Thermodesulfomicrobium
microbium	Thermoflavimicrobium
microbium	Thermomicrobium
microbium	Thioalcalomicrobium
microbium	Thioalkalimicrobium corrig.
microbium	Vaginimicrobium
microbium	Velocimicrobium
microbium	Verrucomicrobium
microbium	Xylanimicrobium
monile	Desulfomonile
morum	Candidatus Magnetomorum
mycelium	Longimycelium
natronum	Anoxynatronum
natronum	Candidatus Cyclonatronum
natronum	Candidatus Syntrophonatronum
natronum	Desulfonatronum
natronum	Halonatronum
natrum	Methylonatrum
nostoc	Nostoc
nostoc	Rhodonostoc
oleum	Aromatoleum
oscillum	Marinoscillum
ovulum	Albidovulum
ovulum	Catenovulum
ovulum	Fuscovulum
ovulum	Halovulum
ovulum	Luteovulum
ovulum	Methylovulum
ovulum	Phaeovulum
ovulum	Rhodovulum
ovulum	Thiovulum
ovum	"Candidatus Magnetovum" corrig.
ovum	Candidatus Magnetoovum
ovum	Lactovum
ovum	Magnoovum
ovum	Marinovum
ovum	Methylomarinovum
ovum	Pelagovum
ovum	Salinovum
ovum	Sulfurovum
ovum	Thermovum
ovum	Thiolamprovum
parvulum	Rubeoparvulum
parvum	Haloparvum
pelagi	Nitropelagi
-philium (philium)	Acidiphilium
-philum (philum)	"Candidatus Nucleiphilum" corrig.
-philum (philum)	Candidatus Methylacidiphilum
-philum (philum)	Candidatus Nucleophilum
-philum (philum)	Candidatus Rubrimentiphilum
-philum (philum)	Cysteiniphilum
-philum (philum)	Heliophilum
-philum (philum)	Proteiniphilum
-philum (philum)	Rhabdaerophilum
-philum (philum)	Thermoleophilum
podium	Lophopodium
profundum	Candidatus Aciduliprofundum
profundum	Thioprofundum
propionicum	Syntrophopropionicum
prunum	Desulfoprunum
pycnidium	Actinopycnidium
quadratum	Haloquadratum
rapulum	Desulforapulum
rubrum	Candidatus Solirubrum
rubrum	Halalkalirubrum
rubrum	Halorubrum
rubrum	Methylorubrum
rubrum	Natronorubrum
rubrum	Salinirubrum corrig.
salsum	Methanosalsum
sericum	Caldisericum
sericum	Candidatus Cryosericum
sphaerium	Coelosphaerium
spirillum	Alkalispirillum
spirillum	Anaerobiospirillum
spirillum	Aquaspirillum
spirillum	Azospirillum
spirillum	Caenispirillum
spirillum	Candidatus Puniceispirillum
spirillum	Dechlorospirillum
spirillum	Dehalospirillum
spirillum	Desulfurispirillum
spirillum	Gastrospirillum
spirillum	Geospirillum
spirillum	Haematospirillum
spirillum	Herbaspirillum
spirillum	Insolitispirillum
spirillum	Leptospirillum
spirillum	Levispirillum
spirillum	Magnetospirillum
spirillum	Marinospirillum
spirillum	Marispirillum
spirillum	Methanospirillum
spirillum	Mucispirillum
spirillum	Natronospirillum
spirillum	Nitrospirillum
spirillum	Niveispirillum
spirillum	Novispirillum
spirillum	Oceanospirillum
spirillum	Saccharospirillum
spirillum	Salinispirillum
spirillum	Spirillum
spirillum	Sporospirillum
spirillum	Sulfurospirillum
spirillum	Titanospirillum
-sporum	Chrysosporum
stercora	Massilistercora
tectum	Candidatus Sabulitectum
tenue	Kallotenue
thalassium	Rhodothalassium
tignum	Actinotignum
tignum	Anaerotignum
tignum	Desulfotignum
tomaculum	Acetitomaculum
tomaculum	Desulfohalotomaculum
tomaculum	Desulfotomaculum
tomaculum	Pelotomaculum
tomaculum	Robiginitomaculum
tomaculum	Sporotomaculum
tomaculum	Thermotomaculum
trichum	Goniotrichum
trichum	Heliotrichum
trichum	Xanthotrichum
trophicum	Ferritrophicum
vastum	Rhodovastum
venabulum	Thermovenabulum
verticillium	Streptoverticillium
