aceticus	Syntrophaceticus
bulbus	Oceanibulbus
calculus	Halocalculus
calculus	Methanocalculus
calculus	"Natronocalculus"
caldus	Acidicaldus
caldus	"Candidatus Nitrosocaldus"
calyx	Chamaecalyx
calyx	Diplocalyx
capillus	Capillus
capsulatus	"Encapsulatus"
captor	Cruoricaptor
carbo	Desulfocarbo
caulis	Alkalicaulis
caulis	Asticcacaulis
caulis	"Candidatus Bipolaricaulis"
caulis	"Euryhalocaulis"
caulis	Glycocaulis
caulis	Maricaulis
caulis	Marinicaulis
caulis	Oceanicaulis
caulis	"Photocaulis"
caulis	Ponticaulis
caulis	Sulfuricaulis
caulis	Tepidicaulis
caulis	Terricaulis
causticus	Thylacocausticus
-clasticus (clasticus)	Cycloclasticus
coccus	"Candidatus Absconditicoccus"
coccus	Absicoccus
coccus	Abyssicoccus
coccus	Acidaminococcus
coccus	Acuticoccus
coccus	Aegeococcus
coccus	Aerococcus
coccus	Aestuariicoccus
coccus	Aggregicoccus
coccus	Agilicoccus
coccus	Agitococcus
coccus	Agrococcus
coccus	[Albococcus]
coccus	Algicoccus
coccus	Aliicoccus
coccus	Alkalicoccus
coccus	Alloiococcus
coccus	Alterococcus
coccus	Amaricoccus
coccus	Amycolicicoccus
coccus	Anaerococcus
coccus	Angiococcus
coccus	Antricoccus
coccus	Aplococcus
coccus	Aquicoccus
coccus	Arachidicoccus
coccus	Arboricoccus corrig.
coccus	Arsenicicoccus
coccus	[Ascococcus]
coccus	[Asterococcus]
coccus	Atopococcus
coccus	Auraticoccus
coccus	Aureicoccus
coccus	Auricoccus
coccus	Bavariicoccus
coccus	"Betacoccus"
coccus	"Bilophococcus"
coccus	Blastococcus
coccus	"Brevicoccus"
coccus	Butyricicoccus
coccus	"Caldococcus"
coccus	"Carnococcus"
coccus	Catellicoccus
coccus	Catenococcus
coccus	"Cephaloticoccus"
coccus	Cerasicoccus
coccus	Chelatococcus
coccus	"Chondrococcus"
coccus	Chroococcus
coccus	Citreicoccus
coccus	Citricoccus
coccus	Closteriococcus
coccus	Compactococcus
coccus	Coprococcus
coccus	Corallococcus
coccus	Corticicoccus
coccus	Craurococcus
coccus	Crenalkalicoccus
coccus	Croceicoccus
coccus	Cyanococcus
coccus	Defluviicoccus corrig.
coccus	Deinococcus
coccus	Dermacoccus
coccus	Desulfococcus
coccus	Desulfurococcus
coccus	"Didymococcus"
coccus	[Diplococcus]
coccus	"Doliumcoccus"
coccus	Dolosicoccus
coccus	Egicoccus
coccus	Enteractinococcus
coccus	Enterococcus
coccus	Eremococcus
coccus	"Exococcus"
coccus	Faecalicoccus
coccus	Fervidicoccus
coccus	Floricoccus
coccus	Fluviicoccus
coccus	Frisingicoccus
coccus	Fundicoccus
coccus	Geminicoccus
coccus	Granulicoccus
coccus	Granulosicoccus
coccus	Halalkalicoccus
coccus	Halegenticoccus
